Final,0.0,0.2,0,0
semi,0.0,0.2,0,0
quarter,0.0,0.2,0,0
Fourth,0.0,0.2,0.0,1.0
Third,0.0,0.2,0.5,0.5
Second,0.0,0.2,0,0
First,0.0,0.2,0.0,1.0
Final,0.2,0.4,0,0
semi,0.2,0.4,0,0
quarter,0.2,0.4,0,0
Fourth,0.2,0.4,0,0
Third,0.2,0.4,0.0,1.0
Second,0.2,0.4,0.0,1.0
First,0.2,0.4,0.0,1.0
Final,0.4,0.6000000000000001,0.0,1.0
semi,0.4,0.6000000000000001,0.0,1.0
quarter,0.4,0.6000000000000001,0.0,1.0
Fourth,0.4,0.6000000000000001,0.043478260869565216,0.9565217391304348
Third,0.4,0.6000000000000001,0.037037037037037035,0.9629629629629629
Second,0.4,0.6000000000000001,0.0196078431372549,0.9803921568627451
First,0.4,0.6000000000000001,0.03414634146341464,0.9658536585365853
Final,0.6000000000000001,0.8,0.5,0.5
semi,0.6000000000000001,0.8,0.4642857142857143,0.5357142857142857
quarter,0.6000000000000001,0.8,0.4927536231884058,0.5072463768115942
Fourth,0.6000000000000001,0.8,0.4424778761061947,0.5575221238938053
Third,0.6000000000000001,0.8,0.48214285714285715,0.5178571428571429
Second,0.6000000000000001,0.8,0.4979253112033195,0.5020746887966805
First,0.6000000000000001,0.8,0.49073064340239914,0.5092693565976009
Final,0.8,1.0,0.6666666666666666,0.3333333333333333
semi,0.8,1.0,0.75,0.25
quarter,0.8,1.0,1.0,0.0
Fourth,0.8,1.0,0.9487179487179487,0.05128205128205128
Third,0.8,1.0,0.9538461538461539,0.046153846153846156
Second,0.8,1.0,0.9316239316239316,0.06837606837606838
First,0.8,1.0,0.8973384030418251,0.10266159695817491
